Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-fi-base-slot.json	842	4	0	4	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	59	127	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-kanta-document-metadata-profile.json	1420	4	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	86	116	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-kanta-document-other-metadata-profile.json	1682	5	0	8	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	119	161	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-municipality-code.json	1940	4	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	47	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-patient-profession.json	1482	5	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	58	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-service-event.json	1259	4	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	55	55	0	0	0	0	1	1
fsh-generated/resources/StructureDefinition-vaccination-recorder.json	1603	5	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	54	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fi-base-register-identifier.json	877	4	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0	0	13	1429	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fi-base-restriction-parent-vs.json	3043	5	0	0	0	0	0	0	0	1363	0	0	0	0	0	0	0	0	0	0	16	1437	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fi-base-security-label-vs.json	680	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	12	60	0	0	0	0	0	0
fsh-generated/resources/ValueSet-kanta-provenance-agent-role.json	835	4	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	0	12	1446	0	0	0	0	0	0
input/examples/Bloodglucose-max.json	4031	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
input/examples/InsulinDosage-example-optional.json	1989	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
input/examples/MedicationAdministration-InsulinDosage-mandatory.json	1413	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
input/examples/Observation-example-Bloodpressure-max.json	5530	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
input/examples/Observation-example-Bloodpressure-min.json	2031	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
input/examples/Observation-example-BodyWeight-max.json	2757	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
input/examples/Observation-example-BodyWeight-min.json	1330	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
input/examples/Observation-example-CalorieIntake-max.json	2465	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
input/examples/Observation-example-CalorieIntake-min.json	1868	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
input/examples/Observation-example-CarbohydrateIntakeEstimated-max.json	2472	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
input/examples/Observation-example-CarbohydrateIntakeEstimated-min.json	1342	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
input/examples/Observation-example-ExerciseTracking-max.json	3014	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
input/examples/Observation-example-ExerciseTracking-min.json	1893	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
input/examples/Observation-example-MET-max.json	4021	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
input/examples/Observation-example-MET-min.json	2801	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
input/examples/Observation-example-ModerateToVigorousPATime-max.json	2928	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
input/examples/Observation-example-ModerateToVigorousPATime-min.json	1464	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
input/examples/Observation-example-StepsTaken-max.json	2978	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
input/examples/Observation-example-duplicate-7.json	1282	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
input/examples/Provenance-ESE-289490.json	1290	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
input/examples/VIRHE2_KELABASELISAYKSET-Provenance-custodian-public-healthcare.json	4664	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
input/examples/bloodglucose-min.json	1448	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
input/examples/diabetes-data-bundle-kantaphr-r4-en.json	741391	51	96	0	0	0	0	0	10	10	0	0	0	0	0	0	0	1	0	0	656	253	0	0	0	0	0	2
input/examples/diabetes-data-bundle-kantaphr-sv.json	2272392	152	169	0	0	0	0	0	26	21	0	0	0	0	0	0	0	5	0	0	1891	864	0	0	0	0	0	7
input/examples/diabetes-data-bundle.json	2661345	161	162	0	1	0	0	0	30	17	0	0	0	0	0	0	0	5	0	0	2198	930	0	0	0	0	0	6
input/examples/example-patient-1.json	409	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
input/examples/example-patient-2.json	409	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
input/examples/example-patient-3.json	409	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
input/examples/example-patient-4.json	409	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
input/examples/example-patient-5.json	409	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
input/examples/example-patient.json	431	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
input/examples/hapi-patient.json	458	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
input/examples/kanta-phr-patient-1.json	265	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
input/examples/kanta-phr-patient-2.json	265	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
input/examples/medication-administration-insulin-basal-dose-kanta-stu3-sv.json	2218	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
input/examples/medication-administration-insulin-bolus-dose-fi.json	2439	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
input/examples/medication-administration-insulin-dose-temporary-basal-rate-kanta-en.json	2296	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
input/examples/medicationesim1.json	984	5	0	0	0	0	0	0	0	818	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
input/examples/medicationesim2.json	1180	4	0	0	0	0	0	0	0	1512	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
input/examples/medicationrequestesim1.json	7441	5	0	0	0	0	0	0	1	11325	0	0	0	0	0	0	0	0	0	0	22	20	0	0	0	0	0	0
input/examples/medicationrequestesim2.json	9007	4	0	0	1	0	0	0	0	11169	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0
input/examples/medicationrequestesim3.json	7666	4	0	0	0	0	0	0	0	9045	0	0	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0
input/examples/medicationrequestesim4.json	7696	5	0	0	0	0	0	0	0	9025	0	0	0	0	0	0	0	0	0	0	23	12	0	0	0	0	0	0
input/examples/medicationrequestesim5.json	8943	4	0	0	0	0	0	0	0	11056	0	0	0	0	0	0	0	0	0	0	28	12	0	0	0	0	0	0
input/examples/medicationrequestesim6.json	7993	4	0	0	0	0	0	0	0	9087	0	0	0	0	0	0	0	0	0	0	25	13	0	0	0	0	0	0
input/examples/medicationrequestesim7A.json	7819	6	0	0	0	0	0	0	0	9640	0	0	0	0	0	0	0	0	0	0	25	13	0	0	0	0	0	0
input/examples/medicationrequestesim7B.json	8027	5	0	0	0	0	0	0	0	9713	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0
input/examples/medicationrequestesim8.json	7534	4	0	0	0	0	0	0	1	9680	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	0	0	0
